Time resolution is 1 ps
Simulation start!
Time = 0 ns, PN = 0, FSK_Out =    x
Time = 15000 ns, PN = 0, FSK_Out =    0
Time = 168000 ns, PN = 0, FSK_Out =    2
Time = 198000 ns, PN = 0, FSK_Out = 2046
Time = 259000 ns, PN = 0, FSK_Out = 2006
Time = 290000 ns, PN = 0, FSK_Out = 1890
Time = 320000 ns, PN = 0, FSK_Out = 1700
Time = 351000 ns, PN = 0, FSK_Out = 1446
Time = 381000 ns, PN = 0, FSK_Out = 1135
Time = 412000 ns, PN = 0, FSK_Out =  782
Time = 443000 ns, PN = 0, FSK_Out =  398
Time = 473000 ns, PN = 0, FSK_Out = 4094
Time = 504000 ns, PN = 0, FSK_Out = 3695
Time = 534000 ns, PN = 0, FSK_Out = 3312
Time = 565000 ns, PN = 0, FSK_Out = 2958
Time = 595000 ns, PN = 0, FSK_Out = 2648
Time = 626000 ns, PN = 0, FSK_Out = 2394
Time = 656000 ns, PN = 0, FSK_Out = 2205
Time = 687000 ns, PN = 0, FSK_Out = 2089
Time = 717000 ns, PN = 0, FSK_Out = 2050
Time = 748000 ns, PN = 0, FSK_Out = 2090
Time = 778000 ns, PN = 0, FSK_Out = 2206
Time = 809000 ns, PN = 0, FSK_Out = 2396
Time = 839000 ns, PN = 0, FSK_Out = 2650
Time = 870000 ns, PN = 0, FSK_Out = 2961
Time = 900000 ns, PN = 0, FSK_Out = 3314
Time = 931000 ns, PN = 0, FSK_Out = 3698
Time = 961000 ns, PN = 0, FSK_Out =    2
Time = 992000 ns, PN = 0, FSK_Out =  401
Time = 1022000 ns, PN = 0, FSK_Out =  784
Time = 1053000 ns, PN = 0, FSK_Out = 1138
Time = 1083000 ns, PN = 0, FSK_Out = 1448
Time = 1114000 ns, PN = 0, FSK_Out = 1702
Time = 1144000 ns, PN = 0, FSK_Out = 1891
Time = 1175000 ns, PN = 0, FSK_Out = 2007
Time = 1205000 ns, PN = 0, FSK_Out = 2046
Time = 1236000 ns, PN = 0, FSK_Out = 2006
Time = 1266000 ns, PN = 0, FSK_Out = 1890
Time = 1297000 ns, PN = 0, FSK_Out = 1700
Time = 1328000 ns, PN = 0, FSK_Out = 1446
Time = 1358000 ns, PN = 0, FSK_Out = 1135
Time = 1389000 ns, PN = 0, FSK_Out =  782
Time = 1419000 ns, PN = 0, FSK_Out =  398
Time = 1450000 ns, PN = 0, FSK_Out = 4094
Time = 1480000 ns, PN = 0, FSK_Out = 3695
Time = 1511000 ns, PN = 0, FSK_Out = 3312
Time = 1541000 ns, PN = 0, FSK_Out = 2958
